"","gene","interaction_F","interaction_p","male_age_beta","male_p","male_n","female_age_beta","female_p","female_n","overall_age_beta","overall_p","overall_n"
"1139","MINDY1",0.758872576951307,0.384260516667201,-0.000210446274013723,0.340909536038239,153,8.10501748467415e-05,0.728858432437073,212,-5.26778572292969e-05,0.750064600887008,365
"1140","PAPOLG",0.162427801826635,0.687169639823158,-3.51909416886137e-06,0.985895739815386,153,0.000106879715482279,0.557366922588322,212,6.38455346931663e-05,0.634610467038946,365
"1141","CCDC58",0.0153972103595263,0.90131664294406,-0.000181424104659847,0.399958341234813,153,-0.000147232318571683,0.399184637273503,212,-0.000156780984841495,0.246605945610109,365
"1142","EXD3",0.139093431522033,0.70940281589179,5.10281205231734e-05,0.762520117660303,153,-2.89463017434782e-05,0.830214504993241,212,8.51205283959549e-06,0.935584638591201,365
"1143","ETAA1",2.85162864346524e-05,0.995742215091373,-0.000168124388304752,0.392856931462333,153,-0.000169442352685215,0.271873527024849,212,-0.000167404473865265,0.167020822521654,365
"1144","SLC25A22",0.198730556570928,0.65601469713902,0.000157628856890335,0.283584067832231,153,5.02291177747653e-05,0.772465315646967,212,9.16223698641858e-05,0.438297975657888,365
"1145","LIG1",0.0131768739347645,0.908674946346205,-0.000240222637652193,0.183187356440127,153,-0.000208752679380624,0.277391552270248,212,-0.000228399581588776,0.0905522967213824,365
"1146","AL133342.1",0.278879249421212,0.597761198896702,0.000325306932243766,0.0230328033833621,153,0.000209940710593702,0.172697206181307,212,0.000251930857310136,0.0193730617512668,365
"1147","PANK4",0.134841059806164,0.713679702536175,-0.000346726430938922,0.110280636646522,153,-0.000246679177436774,0.148876783669093,212,-0.000283944524260545,0.0341807510743127,365
"1148","TANGO6",0.11399465352352,0.735837557525968,-0.000103310190125064,0.498102326143268,153,-2.97084876169327e-05,0.840999510302946,212,-6.24185735567061e-05,0.559468946340429,365
"1149","GPR89B",0.168134737149458,0.682018100696832,-7.04382277327481e-05,0.655134003682795,153,1.34912569145367e-05,0.917965683218169,212,-2.22443585012412e-05,0.824607047577093,365
"1150","SMARCAD1",0.0457659190386746,0.830722651619732,-6.47151654770995e-05,0.792583010450467,153,1.16804702576723e-05,0.961875793302622,212,-2.1860661522535e-05,0.90062973840959,365
"1151","KLHL7",3.02882582677127,0.0826493047789852,-0.000218073303237076,0.188914449382291,153,0.00015115758308305,0.261796479528549,212,-1.37742413678613e-07,0.998947546147366,365
"1152","ZBED5.AS1",0.383027459013093,0.53637776179804,-3.14645143650212e-06,0.984791255075847,153,-0.000137722730768682,0.327805752315626,212,-8.49159106231801e-05,0.426219686970888,365
"1153","SNHG11",0.0792169756679508,0.778522619229011,0.000211741840236013,0.285269523094744,153,0.000145893403006457,0.292023549174995,212,0.000179291221460402,0.1196473206709,365
"1154","NLRC3",0.147724461970747,0.700945800057536,-0.000275032422477387,0.293940132984162,153,-0.000405267018527249,0.0622852152328361,212,-0.000356858313054747,0.0323632806143746,365
"1155","BLZF1",0.078037718471673,0.780134433916755,7.03599138355467e-05,0.752234978987918,153,0.000150539245650305,0.410111195430962,212,0.000112315036473688,0.425533315526059,365
"1156","AL109811.2",2.82413201489071,0.0937220952832095,-0.000365348859165632,0.0596039875821702,153,8.24591623595713e-05,0.642473984649755,212,-9.86642249232397e-05,0.452008468870376,365
"1157","BET1",0.0532815761369844,0.817579171196404,5.27763475028062e-05,0.814576778768777,153,0.000119533278822069,0.515486064805148,212,9.96912976284558e-05,0.48313317368421,365
"1158","ACOX3",2.14632104675293,0.143782326799717,-8.76252616062545e-05,0.567438728336298,153,0.000228244227642118,0.117019771338612,212,9.70103942365449e-05,0.360516975828225,365
"1159","CRACR2A",2.21656308636758,0.137409758863044,0.000250015873291036,0.0967170503143249,153,-5.59819274256566e-05,0.681466910712101,212,7.0214544970691e-05,0.487343693518616,365
"1160","GMPPB",1.30351239937914,0.254329376484864,0.000264782040702885,0.101667966486718,153,-2.05329734662391e-05,0.907290144783271,212,9.01326675020635e-05,0.463698340326743,365
"1161","RORA",0.606732411804981,0.436531063703848,-0.000339139791935981,0.318801288790491,153,-1.69247089415888e-05,0.946332767322208,212,-0.000147774638955062,0.466641839089392,365
"1162","RBM41",0.530071552850309,0.467048747224989,0.000435831850133477,0.0488851624232864,153,0.000178556203671201,0.480238888414981,212,0.000272980719057537,0.117118792123978,365
"1163","PAXIP1.AS2",0.000445610919843403,0.983169970641475,0.000268535080988839,0.203676512478568,153,0.000274147699428868,0.10082400421381,212,0.000276956189101517,0.0343653601198509,365
"1164","MAFB",0.176786127493152,0.674400032743393,-0.000146024138060151,0.817480538410914,153,0.000279788607273596,0.698964021042102,212,0.000111696636742401,0.822032425939139,365
"1165","AC015871.1",1.23946607676864,0.266314724334531,0.000126185139764506,0.451092370030499,153,0.00037769538676345,0.0115715171704458,212,0.000269945154034726,0.0155439245380964,365
"1166","TRAM2",0.168821858174928,0.681404771788868,-0.000185333351362087,0.368933013701163,153,-6.88073930058746e-05,0.715225282910412,212,-0.000116943145248652,0.400531347856055,365
"1167","ERCC8",0.458197307800483,0.498901178133647,0.00013095002492434,0.290520699984324,153,1.73722295369526e-05,0.875173282657434,212,6.46649664938155e-05,0.432236984803926,365
"1168","SPATA5L1",2.65204303195963,0.104289241413008,0.000247067524299069,0.186770509455265,153,-0.000180648915303424,0.307623813252084,212,-1.67495034485381e-05,0.897488369865104,365
